Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Тарелка овальная глубокая GIOD29,http://rakporcelain.com/products/productbig_153_1428390459GIOD29.png,1 859,RAK (Арабские Эмираты),GIOD29,"
							Размеры: 29 × 23 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13568/
Тарелка сервировочная овальная GIPL34,http://rakporcelain.com/products/productbig_159_1428391311GIPL34.png,1 821,RAK (Арабские Эмираты),GIPL34,"
							Размеры: 34 × 22 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13569/
Тарелка сервировочная овальная GIPL30,http://rakporcelain.com/products/productbig_159_1428391311GIPL34.png,1 594,RAK (Арабские Эмираты),GIPL30,"
							Размеры: 30 × 18 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13570/
Тарелка сервировочная овальная GIPL25,http://rakporcelain.com/products/productbig_159_1428391311GIPL34.png,1 328,RAK (Арабские Эмираты),GIPL25,"
							Размеры: 25 × 13 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13571/
Чайник GITP40,http://rakporcelain.com/products/productbig_179_1428397363GITP40.png,1 482,RAK (Арабские Эмираты),GITP40,"
40 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13587/
Чашка для завтрака GICU39,http://rakporcelain.com/products/productbig_169_1438772811GICU39.png,758,RAK (Арабские Эмираты),GICU39,"
39 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13577/
Чашка для кофе GICU20,http://rakporcelain.com/products/productbig_171_1438772367GICU20.png,531,RAK (Арабские Эмираты),GICU20,"
20 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13580/
Чашка для кофе GICU15,http://posuda-mix.ru/upload/shop_1/1/3/5/item_13581/shop_items_catalog_image13581.jpg,477,RAK (Арабские Эмираты),GICU15,"
15 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13581/
Чашка для кофе «Espresso» GICU09,http://rakporcelain.com/products/productbig_174_1438771947GICU09.png,419,RAK (Арабские Эмираты),GICU09,"
9 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13582/
Чашка для шоколада GICU29,http://rakporcelain.com/products/productbig_170_1438772595GICU29.png,701,RAK (Арабские Эмираты),GICU29,"
29 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13578/
Чашка чайная GICU23,http://posuda-mix.ru/upload/shop_1/1/3/5/item_13579/shop_items_catalog_image13579.jpg,570,RAK (Арабские Эмираты),GICU23,"
23 cl
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Giro,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/1301/13579/
